## S81 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 2
## Plan files scanned: 0
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 1578
## Edge types: anchored_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:T3-BATCH-S26-P3-A6-COMPUTATION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S26-P3-A6-COMPUTATION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S26-TORSION-DIAGNOSTICS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S26-TORSION-DIAGNOSTICS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S26-TORSION-RESONANCE-DETAIL -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S26-TORSION-RESONANCE-DETAIL: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S27-MULTISECTOR-BCS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S27-MULTISECTOR-BCS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S27-TORSION-GAP-GATE -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S27-TORSION-GAP-GATE: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S28A-BOGOLIUBOV-COEFFICIENTS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S28A-BOGOLIUBOV-COEFFICIENTS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S28A-LICHNEROWICZ-DECOMPOSITION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S28A-LICHNEROWICZ-DECOMPOSITION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S28A-MMAX-DISPERSION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S28A-MMAX-DISPERSION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S28A-SPECTRAL-ACTION-COMPARISON -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S28A-SPECTRAL-ACTION-COMPARISON: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S28A-SPECTRAL-CORRELATIONS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S28A-SPECTRAL-CORRELATIONS: INFO'
