## S85 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 16
## Verdict files scanned: 1
## Plan files scanned: 20
## Session .md files scanned (cited_in scope): 63
## Total edges (deduped): 205
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE: FAIL'
[EDGE:anchored_in] gates:S85-W2-DISJOINT-CORRIDOR-REGISTRY-LANDING -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-DISJOINT-CORRIDOR-REGISTRY-LANDING: FAIL'
[EDGE:anchored_in] gates:S85-W3-CF-3-MULTI-VALUED-LANDAU-OP -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CF-3-MULTI-VALUED-LANDAU-OP: FAIL'
[EDGE:anchored_in] gates:S85-W2-ALPHA-S-PRE-REG-REGISTRY-LANDING -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-ALPHA-S-PRE-REG-REGISTRY-LANDING: PASS'
[EDGE:anchored_in] gates:S85-W3-CF-1-BRANCH-A-A_S-CLOSURE-K2035 -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CF-1-BRANCH-A-A_S-CLOSURE-K2035: FAIL'
[EDGE:anchored_in] gates:S85-W2-S50-T15-REGISTRY-UPGRADE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-S50-T15-REGISTRY-UPGRADE: PASS'
[EDGE:anchored_in] gates:S85-W3-CONSOLIDATED-PERMANENT-RESULT-UPGRADE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CONSOLIDATED-PERMANENT-RESULT-UPGRADE: INFO'
[EDGE:anchored_in] gates:S85-W3-RUNNING-MASS-GINZBURG-OZ -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-RUNNING-MASS-GINZBURG-OZ: PASS'
[EDGE:anchored_in] gates:S85-W3-LANDAU-CLASS-REGISTRY-ENTRY -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-LANDAU-CLASS-REGISTRY-ENTRY: INFO'
[EDGE:anchored_in] gates:S85-W2-PRE-CC-2-TRIALITY-ON-JENSEN -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-PRE-CC-2-TRIALITY-ON-JENSEN: PASS'
[EDGE:anchored_in] gates:S85-W3-MULTIPOLE-BREAKDOWN-SCAN -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-MULTIPOLE-BREAKDOWN-SCAN: FAIL'
[EDGE:anchored_in] gates:S85-W2-BAND-DETECTOR-MAP-LEGGETT-BOG -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-BAND-DETECTOR-MAP-LEGGETT-BOG: PASS'
[EDGE:anchored_in] gates:S85-W3-FALSIFIER-TABLE-OZ-CLASS -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-FALSIFIER-TABLE-OZ-CLASS: PASS'
[EDGE:anchored_in] gates:S85-W2-PSG-SECTION-11-2-REVISION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-PSG-SECTION-11-2-REVISION: INFO'
