## S87 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 21
## Session .md files scanned (cited_in scope): 22
## Total edges (deduped): 147
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S87-VII-PROP-LANDING-A -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-VII-PROP-LANDING-A: PASS'
[EDGE:anchored_in] gates:S87-W1B-HK-2-WINDOWED-PV-EXPLORATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-HK-2-WINDOWED-PV-EXPLORATION: FAIL'
[EDGE:anchored_in] gates:S87-W1B-HK-3-D-EFF-CONVENTION-AUDIT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-HK-3-D-EFF-CONVENTION-AUDIT: PASS'
[EDGE:anchored_in] gates:S87-W1B-HK-4-VII-U-VII-W-CONVENTION-RECITE -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-HK-4-VII-U-VII-W-CONVENTION-RECITE: PASS'
[EDGE:anchored_in] gates:S87-ALPHA-S-CMB-S4-WATCH -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-ALPHA-S-CMB-S4-WATCH: PASS'
[EDGE:anchored_in] gates:S87-W1B-HK-1-PV-MPMATH-VERIFY -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-HK-1-PV-MPMATH-VERIFY: PASS'
[EDGE:anchored_in] gates:S87-W1B-HK-6-RICHARDSON-FORM-CANONICALIZE -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-HK-6-RICHARDSON-FORM-CANONICALIZE: PASS'
[EDGE:anchored_in] gates:S87-PATH-H-PATH-C-INTERPOLATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-PATH-H-PATH-C-INTERPOLATION: PASS'
[EDGE:anchored_in] gates:S87-ALPHA-S-K-RUNNING-NEAR-K-SAT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-ALPHA-S-K-RUNNING-NEAR-K-SAT: PASS'
[EDGE:anchored_in] gates:S87-LAB-3HE-B-ALPHA-S-EQUIVALENT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-LAB-3HE-B-ALPHA-S-EQUIVALENT: PASS'
[EDGE:anchored_in] gates:S87-ALPHA-S-DIRECT-MOMENT-INDEPENDENT-ROUTE -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-ALPHA-S-DIRECT-MOMENT-INDEPENDENT-ROUTE: FAIL'
[EDGE:anchored_in] gates:S87-A4-A2-PIVOT-STATIONARITY-PIN -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-A4-A2-PIVOT-STATIONARITY-PIN: PASS'
[EDGE:anchored_in] gates:S87-W1B-HK-7-PAIRED-SLOT-L14-DISAMBIGUATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-HK-7-PAIRED-SLOT-L14-DISAMBIGUATION: PASS'
[EDGE:anchored_in] gates:S87-S88-PLUS-CANDIDATES -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-S88-PLUS-CANDIDATES: INFO'
[EDGE:anchored_in] gates:S87-PATH-H-PATH-C-MULTI-VALUED-REGISTRY-LANDING -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-PATH-H-PATH-C-MULTI-VALUED-REGISTRY-LANDING: FAIL'
[EDGE:anchored_in] gates:S87-BK-ARRAY-JOINT-META-CLASSIFIER-V2 -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-BK-ARRAY-JOINT-META-CLASSIFIER-V2: PASS'
[EDGE:anchored_in] gates:S87-W3-3A-LITEBIRD-N-T-PATH-H-PATH-C-DISCRIMINATOR -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W3-3A-LITEBIRD-N-T-PATH-H-PATH-C-DISCRIMINATOR: INFO'
[EDGE:anchored_in] gates:S87-W3-3B-LISA-OMEGA-GW-A-C-REGULATOR-CLASS-DISCRIMINATOR -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W3-3B-LISA-OMEGA-GW-A-C-REGULATOR-CLASS-DISCRIMINATOR: PASS'
[EDGE:anchored_in] gates:S87-DELTA-SPEED-MELLIN-WINDOW -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-DELTA-SPEED-MELLIN-WINDOW: PRE-REG-INC'
