## S86 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 21
## Verdict files scanned: 1
## Plan files scanned: 23
## Session .md files scanned (cited_in scope): 86
## Total edges (deduped): 172
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S86-CANON-PRDR-K-DISAMBIGUATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CANON-PRDR-K-DISAMBIGUATION: FAIL'
[EDGE:anchored_in] gates:S86-VII-S-C-ETA-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-S-C-ETA-LANDING: FAIL'
[EDGE:anchored_in] gates:S86-VII-S-C-THETA-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-S-C-THETA-LANDING: FAIL'
[EDGE:anchored_in] gates:S86-W0-PERM-LAND-17-RECONCILIATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W0-PERM-LAND-17-RECONCILIATION: PASS'
[EDGE:anchored_in] gates:S86-VII-M2-T15-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-M2-T15-LANDING: PASS'
[EDGE:anchored_in] gates:S86-VII-R-NCG-META-THEOREM-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-R-NCG-META-THEOREM-LANDING: FAIL'
[EDGE:anchored_in] gates:S86-ZETA-NOT-PHYSICAL-75-REGISTRY-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-ZETA-NOT-PHYSICAL-75-REGISTRY-LANDING: PASS'
[EDGE:anchored_in] gates:S86-W1C-C29-FOLLOWUP-NS-OF-CSUB-PROMOTION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W1C-C29-FOLLOWUP-NS-OF-CSUB-PROMOTION: FAIL'
[EDGE:anchored_in] gates:S86-VII-R-NCG-META-THEOREM-LANDING-RESLOT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-R-NCG-META-THEOREM-LANDING-RESLOT: PASS'
[EDGE:anchored_in] gates:S86-VII-Y-RECONCILE -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-Y-RECONCILE: PASS'
[EDGE:anchored_in] gates:S86-VII-S-PERTURBATIVE-LEDGER-IMMUNIZATION-FAMILY-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-VII-S-PERTURBATIVE-LEDGER-IMMUNIZATION-FAMILY-LANDING: PASS'
