## S85 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 54 (+ 9 in workshops/)
## Total edges (deduped): 115
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='## Round 2 — tesla'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='## Round 3 — tesla'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-6a-cgwb-alphas-independence.md | match='## Round 3 — mack'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:spectral-geometer -> data_provenance:sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md | match='spectral-geometer (spectral-geometer)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:spectral-geometer -> data_provenance:sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md | match='## Round 1 — spectral-geometer'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md | match='## Round 2 — landau'
[EDGE:authored_round] researchers:spectral-geometer -> data_provenance:sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md | match='## Round 2 — spectral-geometer'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-w1-cutoff-authority-adjudication.md | match='## Round 3 — landau'
