name,empirical_class,sub_bucket,criterion_R,empirical_R,error_type,value,m_0_zeta,m_2_zeta,m_6_zeta
t_universe_s,ABSOLUTE,PLANCK_OBS,0,1,FN,4.35e+17,2.2988505747126435e-18,4.35e+17,1.5575653771875e+88
sigma_FIRAS,RATIO,PLANCK_OBS,0,1,FN,1e-06,1000000.0,1e-06,9.999999999999997e-31
FIRAS_dT_bound,RATIO,PLANCK_OBS,0,1,FN,3e-06,333333.3333333333,3e-06,2.4300000000000003e-28
GeV_to_inv_s,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.5193e+24,6.5819785427499505e-25,1.5193e+24,8.095015584576352e+120
GeV_to_inv_m,ABSOLUTE,UNIT_CONVERSION,0,1,FN,5067730717679395.0,1.9732698040000003e-16,5067730717679395.0,3.3424710107598457e+78
GeV_inv_to_Mpc,ABSOLUTE,UNIT_CONVERSION,0,1,FN,6.394885452247464e-39,1.563749667554331e+38,6.394885452247464e-39,1.0694582822225461e-191
Mpc_to_GeV_inv,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.563749667554331e+38,6.394885452247464e-39,1.563749667554331e+38,9.350528362095637e+190
GeV_to_kg,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.78266192e-27,5.609588608927036e+26,1.78266192e-27,1.8003002318364251e-134
GeV_to_g,ABSOLUTE,UNIT_CONVERSION,0,1,FN,1.78266192e-24,5.609588608927037e+23,1.78266192e-24,1.8003002318364243e-119
Mpc_to_fm,ABSOLUTE,UNIT_CONVERSION,0,1,FN,3.0857e+38,3.240755744239557e-39,3.0857e+38,2.797489740971598e+192
Mpc_to_m,ABSOLUTE,UNIT_CONVERSION,0,1,FN,3.0857e+22,3.2407557442395566e-23,3.0857e+22,2.7974897409715978e+112
Mpc_to_cm,ABSOLUTE,UNIT_CONVERSION,0,1,FN,3.0857e+24,3.240755744239557e-25,3.0857e+24,2.7974897409715977e+122
Gpc_to_m,ABSOLUTE,UNIT_CONVERSION,0,1,FN,3.0857e+25,3.240755744239557e-26,3.0857e+25,2.797489740971598e+127
kpc_to_cm,ABSOLUTE,UNIT_CONVERSION,0,1,FN,3.0857e+21,3.2407557442395567e-22,3.0857e+21,2.7974897409715975e+107
tau_fold,RATIO,DK_RATIO,0,1,FN,0.19,5.2631578947368425,0.19,0.0002476099
phi_paasch,RATIO,DK_RATIO,0,1,FN,1.53158,0.6529205134566918,1.53158,8.42749362336731
T_GGE_B2,ABSOLUTE,FRAMEWORK_ABS,0,1,FN,0.668,1.497005988023952,0.668,0.13300939326156805
Vol_SU3_Haar,RATIO,PURE_MATH,0,1,FN,1349.7399583199533,0.0007408834522797405,1349.7399583199533,4479716450598671.5
Vol_SU3_WRONG,RATIO,PURE_MATH,0,1,FN,8880.932955307186,0.00011260078248900717,8880.932955307186,5.524499737877261e+19
g0_diag,RATIO,PURE_MATH,0,1,FN,3.0,0.3333333333333333,3.0,243.0
M_KK_gravity,ABSOLUTE,FRAMEWORK_ABS,0,1,FN,7.428660036284456e+16,1.3461377894742958e-17,7.428660036284456e+16,2.262311583482935e+84
M_KK_kerner,ABSOLUTE,FRAMEWORK_ABS,0,1,FN,5.041679838376001e+17,1.983465892435793e-18,5.041679838376001e+17,3.257439183303799e+88
M_KK,ABSOLUTE,FRAMEWORK_ABS,0,1,FN,7.428660036284456e+16,1.3461377894742958e-17,7.428660036284456e+16,2.262311583482935e+84
E_cond_ED_8mode,RATIO,DK_RATIO,0,1,FN,-0.13685055970476342,7.307240848392325,0.13685055970476342,4.7999077406074964e-05
E_cond_ED_5mode,RATIO,DK_RATIO,0,1,FN,-0.11507660716341951,8.689863427932897,0.11507660716341951,2.0180654393229227e-05
E_cond_GL,RATIO,DK_RATIO,0,1,FN,-0.156,6.410256410256411,0.156,9.2389579776e-05
E_cond,RATIO,DK_RATIO,0,1,FN,-0.13685055970476342,7.307240848392325,0.13685055970476342,4.7999077406074964e-05
E_exc_ratio,RATIO,DK_RATIO,0,1,FN,443.0,0.002257336343115124,443.0,17061555810443.0
E_exc,RATIO,DK_RATIO,0,1,FN,60.6247979492102,0.016494900334971387,60.6247979492102,818938938.0135217
n_pairs,RATIO,DK_RATIO,0,1,FN,59.8,0.016722408026755852,59.8,764726112.4796798
N_dof_BCS,RATIO,PURE_MATH,0,1,FN,8.0,0.125,8.0,32768.0
T_compound,RATIO,DK_RATIO,0,1,FN,7.578099743651275,0.1319592026797711,7.578099743651275,24992.03302043218
Delta_0_GL,RATIO,DK_RATIO,0,1,FN,0.7704350982797368,1.297967865473479,0.7704350982797368,0.27144403183679716
Delta_0_OES,RATIO,DK_RATIO,0,1,FN,0.4642547394830737,2.153989857192312,0.4642547394830737,0.021566602325840716
